Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Trinidad and Tobago	138159	299.0	3754.0	4.0	127251.0	0.0	7154.0	18.0	98165.0	2667.0	673866.0	478795.0	1407422.0	North America
2022-04-03	Trinidad and Tobago	138159	0.0	3754.0	0.0	127251.0	0.0	7154.0	18.0	98164.0	2667.0	673866.0	478790.0	1407434.0	North America
2022-04-04	Trinidad and Tobago	138425	266.0	3756.0	2.0	127942.0	691.0	6727.0	18.0	98352.0	2669.0	675674.0	480071.0	1407446.0	North America
2022-04-05	Trinidad and Tobago	138793	368.0	3763.0	7.0	128540.0	598.0	6490.0	18.0	98612.0	2674.0	676774.0	480848.0	1407459.0	North America
2022-04-06	Trinidad and Tobago	139114	321.0	3766.0	3.0	128540.0	0.0	6808.0	18.0	98840.0	2676.0	676774.0	480844.0	1407471.0	North America
2022-04-07	Trinidad and Tobago	139397	283.0	3770.0	4.0	129221.0	681.0	6406.0	18.0	99040.0	2679.0	680114.0	483213.0	1407483.0	North America
2022-04-08	Trinidad and Tobago	139595	198.0	3773.0	3.0	129504.0	283.0	6318.0	18.0	99180.0	2681.0	680567.0	483530.0	1407496.0	North America
2022-04-09	Trinidad and Tobago	139973	378.0	3774.0	1.0	129827.0	323.0	6372.0	18.0	99447.0	2681.0	681316.0	484058.0	1407508.0	North America
2022-04-10	Trinidad and Tobago	140242	269.0	3777.0	3.0	129827.0	0.0	6638.0	18.0	99638.0	2683.0	681316.0	484054.0	1407521.0	North America
2022-04-11	Trinidad and Tobago	140332	90.0	3780.0	3.0	130316.0	489.0	6236.0	18.0	99701.0	2686.0	682433.0	484843.0	1407533.0	North America
2022-04-12	Trinidad and Tobago	140781	324.0	3787.0	4.0	130528.0	0.0	6466.0	18.0	100019.0	2691.0	682714.0	485039.0	1407545.0	North America
2022-04-13	Trinidad and Tobago	141155	374.0	3792.0	5.0	131219.0	691.0	6144.0	18.0	100284.0	2694.0	686393.0	487648.0	1407558.0	North America
2022-04-14	Trinidad and Tobago	141604	449.0	3794.0	2.0	131451.0	232.0	6359.0	18.0	100602.0	2695.0	687522.0	488446.0	1407570.0	North America
2022-04-15	Trinidad and Tobago	141853	249.0	3798.0	4.0	131451.0	0.0	6604.0	18.0	100779.0	2698.0	687522.0	488446.0	1407570.0	North America
2022-04-16	Trinidad and Tobago	141853	0.0	3798.0	0.0	131451.0	0.0	6604.0	18.0	100779.0	2698.0	687522.0	488446.0	1407570.0	North America
