Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Tunisia	1035884	0.0	28323.0	0.0	0	0	0	42.0	86072.0	2353.0	4521880.0	375725.0	12035092.0	Africa
2022-04-03	Tunisia	1035884	0.0	28323.0	0.0	0	0	0	42.0	86070.0	2353.0	4521880.0	375714.0	12035429.0	Africa
2022-04-04	Tunisia	1035884	0.0	28323.0	0.0	0	0	0	42.0	86067.0	2353.0	4521880.0	375704.0	12035767.0	Africa
2022-04-05	Tunisia	1037358	211.0	28425.0	15.0	0	0	0	42.0	86187.0	2362.0	4537900.0	377024.0	12036105.0	Africa
2022-04-06	Tunisia	1037358	0.0	28425.0	0.0	0	0	0	29.0	86185.0	2362.0	4537900.0	377013.0	12036442.0	Africa
2022-04-07	Tunisia	1037358	0.0	28425.0	0.0	0	0	0	29.0	86182.0	2362.0	4537900.0	377003.0	12036780.0	Africa
2022-04-08	Tunisia	1037358	0.0	28425.0	0.0	0	0	0	29.0	86180.0	2361.0	4537900.0	376992.0	12037118.0	Africa
2022-04-09	Tunisia	1037358	0.0	28425.0	0.0	0	0	0	29.0	86178.0	2361.0	4537900.0	376982.0	12037455.0	Africa
2022-04-10	Tunisia	1037358	0.0	28425.0	0.0	0	0	0	29.0	86175.0	2361.0	4537900.0	376971.0	12037793.0	Africa
2022-04-11	Tunisia	1038501	146.0	28499.0	9.0	0	0	0	29.0	86268.0	2367.0	4537900.0	376961.0	12038131.0	Africa
2022-04-12	Tunisia	1038668	0.0	28509.0	0.0	0	0	0	29.0	86279.0	2368.0	4547755.0	377769.0	12038468.0	Africa
2022-04-13	Tunisia	1038668	0.0	28509.0	0.0	0	0	0	29.0	86277.0	2368.0	4547755.0	377758.0	12038806.0	Africa
2022-04-14	Tunisia	1038668	0.0	28509.0	0.0	0	0	0	29.0	86274.0	2368.0	4547755.0	377747.0	12039144.0	Africa
2022-04-15	Tunisia	1038668	0.0	28509.0	0.0	0	0	0	29.0	86274.0	2368.0	4547755.0	377747.0	12039144.0	Africa
2022-04-16	Tunisia	1038668	0.0	28509.0	0.0	0	0	0	29.0	86274.0	2368.0	4547755.0	377747.0	12039144.0	Africa
