Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Turkey	14873927	13367.0	98078.0	45.0	14546788.0	14858.0	229061.0	975.0	173098.0	1141.0	154042513.0	1792700.0	85927644.0	Asia
2022-04-03	Turkey	14885710	11783.0	98119.0	41.0	14560209.0	13421.0	227382.0	975.0	173230.0	1142.0	154284699.0	1795467.0	85930122.0	Asia
2022-04-04	Turkey	14894731	9021.0	98157.0	38.0	14570521.0	10312.0	226053.0	975.0	173330.0	1142.0	154495767.0	1797871.0	85932601.0	Asia
2022-04-05	Turkey	14907378	12647.0	98197.0	40.0	14584479.0	13958.0	224702.0	975.0	173473.0	1143.0	154732110.0	1800570.0	85935079.0	Asia
2022-04-06	Turkey	14919591	12213.0	98234.0	37.0	14598047.0	13568.0	223310.0	975.0	173610.0	1143.0	154964245.0	1803219.0	85937557.0	Asia
2022-04-07	Turkey	14929905	10314.0	98275.0	41.0	14612379.0	14332.0	219251.0	975.0	173725.0	1144.0	155184781.0	1805733.0	85940035.0	Asia
2022-04-08	Turkey	14939259	9354.0	98311.0	36.0	14623264.0	10885.0	217684.0	975.0	173829.0	1144.0	155400010.0	1808186.0	85942513.0	Asia
2022-04-09	Turkey	14946379	7120.0	98342.0	31.0	14634481.0	11217.0	213556.0	975.0	173906.0	1144.0	155597564.0	1810432.0	85944992.0	Asia
2022-04-10	Turkey	14953365	6986.0	98377.0	35.0	14643306.0	8825.0	211682.0	975.0	173983.0	1145.0	155783790.0	1812547.0	85947470.0	Asia
2022-04-11	Turkey	14958974	5609.0	98409.0	32.0	14650621.0	7315.0	209944.0	975.0	174043.0	1145.0	155956251.0	1814501.0	85949948.0	Asia
2022-04-12	Turkey	14972502	6635.0	98462.0	25.0	14673980.0	12152.0	200060.0	975.0	174195.0	1146.0	156329493.0	1818791.0	85952426.0	Asia
2022-04-13	Turkey	14978031	5529.0	98493.0	31.0	14688473.0	14493.0	191065.0	975.0	174255.0	1146.0	156514251.0	1820888.0	85954904.0	Asia
2022-04-14	Turkey	14983158	5127.0	98514.0	21.0	14705256.0	16783.0	179388.0	975.0	174309.0	1146.0	156696697.0	1822958.0	85957383.0	Asia
2022-04-15	Turkey	14987583	4425.0	98532.0	18.0	14719749.0	14493.0	169302.0	975.0	174361.0	1146.0	156868643.0	1824958.0	85957383.0	Asia
2022-04-16	Turkey	14987583	0.0	98532.0	0.0	14719749.0	0.0	169302.0	975.0	174361.0	1146.0	156868643.0	1824958.0	85957383.0	Asia
