Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Uruguay	888639	704.0	7161.0	2.0	875335.0	1207.0	6143.0	39.0	254274.0	2049.0	6011747.0	1720195.0	3494806.0	South America
2022-04-03	Uruguay	889132	493.0	7162.0	1.0	876369.0	1034.0	5601.0	38.0	254413.0	2049.0	6018261.0	1722043.0	3494838.0	South America
2022-04-04	Uruguay	889513	381.0	7166.0	4.0	877114.0	745.0	5233.0	40.0	254520.0	2050.0	6022372.0	1723203.0	3494871.0	South America
2022-04-05	Uruguay	890140	627.0	7169.0	3.0	877795.0	681.0	5176.0	38.0	254697.0	2051.0	6028410.0	1724914.0	3494904.0	South America
2022-04-06	Uruguay	890980	840.0	7171.0	2.0	878876.0	1081.0	4933.0	35.0	254934.0	2052.0	6037194.0	1727411.0	3494937.0	South America
2022-04-07	Uruguay	891800	820.0	7176.0	5.0	880008.0	1132.0	4616.0	35.0	255167.0	2053.0	6045645.0	1729813.0	3494970.0	South America
2022-04-08	Uruguay	892454	654.0	7179.0	3.0	880922.0	914.0	4353.0	33.0	255351.0	2054.0	6052993.0	1731900.0	3495002.0	South America
2022-04-09	Uruguay	893009	555.0	7181.0	2.0	881881.0	959.0	3947.0	33.0	255508.0	2055.0	6059168.0	1733650.0	3495035.0	South America
2022-04-10	Uruguay	893575	566.0	7181.0	0.0	882651.0	770.0	3743.0	30.0	255667.0	2055.0	6065403.0	1735418.0	3495068.0	South America
2022-04-11	Uruguay	893909	334.0	7182.0	1.0	883171.0	520.0	3556.0	29.0	255761.0	2055.0	6068869.0	1736393.0	3495101.0	South America
2022-04-12	Uruguay	894630	363.0	7186.0	3.0	884306.0	647.0	3138.0	29.0	255964.0	2056.0	6077462.0	1738835.0	3495134.0	South America
2022-04-13	Uruguay	894984	354.0	7188.0	2.0	884907.0	601.0	2889.0	31.0	256063.0	2057.0	6081466.0	1739965.0	3495166.0	South America
2022-04-14	Uruguay	895240	256.0	7190.0	2.0	885068.0	161.0	2982.0	23.0	256134.0	2057.0	6084644.0	1740858.0	3495199.0	South America
2022-04-15	Uruguay	895451	211.0	7193.0	3.0	885920.0	852.0	2338.0	21.0	256195.0	2058.0	6086962.0	1741521.0	3495199.0	South America
2022-04-16	Uruguay	895451	0.0	7193.0	0.0	885920.0	0.0	2338.0	21.0	256195.0	2058.0	6086962.0	1741521.0	3495199.0	South America
