Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Vanuatu	3714	298.0	2.0	0.0	1547.0	231.0	2165.0	17.0	11617.0	6.0	24976.0	78123.0	319701.0	Australia/Oceania
2022-04-03	Vanuatu	3911	197.0	2.0	0.0	1601.0	54.0	2308.0	17.0	12233.0	6.0	24976.0	78118.0	319721.0	Australia/Oceania
2022-04-04	Vanuatu	4107	196.0	2.0	0.0	1647.0	46.0	2458.0	18.0	12845.0	6.0	24976.0	78113.0	319741.0	Australia/Oceania
2022-04-05	Vanuatu	4431	324.0	2.0	0.0	1861.0	214.0	2568.0	11.0	13857.0	6.0	24976.0	78109.0	319760.0	Australia/Oceania
2022-04-06	Vanuatu	4524	93.0	2.0	0.0	1861.0	0.0	2661.0	11.0	14147.0	6.0	24976.0	78104.0	319780.0	Australia/Oceania
2022-04-07	Vanuatu	4785	261.0	3.0	1.0	2830.0	969.0	1952.0	11.0	14962.0	9.0	24976.0	78099.0	319800.0	Australia/Oceania
2022-04-08	Vanuatu	4915	130.0	3.0	0.0	3293.0	463.0	1619.0	14.0	15368.0	9.0	24976.0	78094.0	319819.0	Australia/Oceania
2022-04-09	Vanuatu	4946	31.0	3.0	0.0	3293.0	0.0	1650.0	14.0	15464.0	9.0	24976.0	78089.0	319839.0	Australia/Oceania
2022-04-10	Vanuatu	5298	352.0	4.0	1.0	3575.0	282.0	1719.0	15.0	16564.0	13.0	24976.0	78084.0	319859.0	Australia/Oceania
2022-04-11	Vanuatu	5480	182.0	4.0	0.0	3621.0	46.0	1855.0	6.0	17132.0	13.0	24976.0	78080.0	319878.0	Australia/Oceania
2022-04-12	Vanuatu	5536	25.0	6.0	0.0	4264.0	643.0	1266.0	4.0	17306.0	19.0	24976.0	78075.0	319898.0	Australia/Oceania
2022-04-13	Vanuatu	5536	0.0	6.0	0.0	4264.0	0.0	1266.0	4.0	17304.0	19.0	24976.0	78070.0	319918.0	Australia/Oceania
2022-04-14	Vanuatu	5966	401.0	7.0	1.0	4893.0	629.0	1066.0	4.0	18647.0	22.0	24976.0	78065.0	319937.0	Australia/Oceania
2022-04-15	Vanuatu	6109	143.0	7.0	0.0	5051.0	158.0	1051.0	5.0	19094.0	22.0	24976.0	78065.0	319937.0	Australia/Oceania
2022-04-16	Vanuatu	6109	0.0	7.0	0.0	5051.0	0.0	1051.0	5.0	19094.0	22.0	24976.0	78065.0	319937.0	Australia/Oceania
