Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Venezuela	520627	130.0	5684.0	1.0	513334.0	95.0	1609.0	230.0	18400.0	201.0	3359014.0	118714.0	28294895.0	South America
2022-04-03	Venezuela	520708	81.0	5685.0	1.0	513432.0	98.0	1591.0	230.0	18403.0	201.0	3359014.0	118715.0	28294676.0	South America
2022-04-04	Venezuela	520843	135.0	5686.0	1.0	513516.0	84.0	1641.0	230.0	18408.0	201.0	3359014.0	118716.0	28294457.0	South America
2022-04-05	Venezuela	520905	62.0	5687.0	1.0	513621.0	105.0	1597.0	230.0	18410.0	201.0	3359014.0	118717.0	28294238.0	South America
2022-04-06	Venezuela	521030	125.0	5688.0	1.0	513671.0	50.0	1671.0	230.0	18415.0	201.0	3359014.0	118718.0	28294019.0	South America
2022-04-07	Venezuela	521105	75.0	5689.0	1.0	513708.0	37.0	1708.0	230.0	18418.0	201.0	3359014.0	118719.0	28293799.0	South America
2022-04-08	Venezuela	521186	81.0	5691.0	2.0	513762.0	54.0	1733.0	230.0	18421.0	201.0	3359014.0	118720.0	28293580.0	South America
2022-04-09	Venezuela	521325	139.0	5692.0	1.0	513890.0	128.0	1743.0	230.0	18426.0	201.0	3359014.0	118721.0	28293361.0	South America
2022-04-10	Venezuela	521373	48.0	5693.0	1.0	513964.0	74.0	1716.0	230.0	18428.0	201.0	3359014.0	118722.0	28293142.0	South America
2022-04-11	Venezuela	521471	98.0	5695.0	2.0	514082.0	118.0	1694.0	230.0	18431.0	201.0	3359014.0	118723.0	28292923.0	South America
2022-04-12	Venezuela	521618	72.0	5697.0	1.0	514288.0	82.0	1633.0	230.0	18436.0	201.0	3359014.0	118724.0	28292703.0	South America
2022-04-13	Venezuela	521714	96.0	5698.0	1.0	514413.0	125.0	1603.0	230.0	18440.0	201.0	3359014.0	118725.0	28292484.0	South America
2022-04-14	Venezuela	521880	166.0	5699.0	1.0	514477.0	64.0	1704.0	230.0	18446.0	201.0	3359014.0	118726.0	28292265.0	South America
2022-04-15	Venezuela	521946	66.0	5700.0	1.0	514608.0	131.0	1638.0	230.0	18448.0	201.0	3359014.0	118726.0	28292265.0	South America
2022-04-16	Venezuela	521946	0.0	5700.0	0.0	514608.0	0.0	1638.0	230.0	18448.0	201.0	3359014.0	118726.0	28292265.0	South America
