Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Wallis and Futuna	454	0	7.0	0	438.0	0	9.0	0	41674.0	643.0	20508.0	1882504.0	10894.0	Australia/Oceania
2022-04-03	Wallis and Futuna	454	0	7.0	0	438.0	0	9.0	0	41674.0	643.0	20508.0	1882504.0	10894.0	Australia/Oceania
2022-04-04	Wallis and Futuna	454	0	7.0	0	438.0	0	9.0	0	41678.0	643.0	20508.0	1882677.0	10893.0	Australia/Oceania
2022-04-05	Wallis and Futuna	454	0	7.0	0	438.0	0	9.0	0	41678.0	643.0	20508.0	1882677.0	10893.0	Australia/Oceania
2022-04-06	Wallis and Futuna	454	0	7.0	0	438.0	0	9.0	0	41682.0	643.0	20508.0	1882850.0	10892.0	Australia/Oceania
2022-04-07	Wallis and Futuna	454	0	7.0	0	438.0	0	9.0	0	41682.0	643.0	20508.0	1882850.0	10892.0	Australia/Oceania
2022-04-08	Wallis and Futuna	454	0	7.0	0	438.0	0	9.0	0	41686.0	643.0	20508.0	1883023.0	10891.0	Australia/Oceania
2022-04-09	Wallis and Futuna	454	0	7.0	0	438.0	0	9.0	0	41686.0	643.0	20508.0	1883023.0	10891.0	Australia/Oceania
2022-04-10	Wallis and Futuna	454	0	7.0	0	438.0	0	9.0	0	41690.0	643.0	20508.0	1883196.0	10890.0	Australia/Oceania
2022-04-11	Wallis and Futuna	454	0	7.0	0	438.0	0	9.0	0	41690.0	643.0	20508.0	1883196.0	10890.0	Australia/Oceania
2022-04-12	Wallis and Futuna	454	0	7.0	0	438.0	0	9.0	0	41693.0	643.0	20508.0	1883369.0	10889.0	Australia/Oceania
2022-04-13	Wallis and Futuna	454	0	7.0	0	438.0	0	9.0	0	41693.0	643.0	20508.0	1883369.0	10889.0	Australia/Oceania
2022-04-14	Wallis and Futuna	454	0	7.0	0	438.0	0	9.0	0	41697.0	643.0	20508.0	1883542.0	10888.0	Australia/Oceania
2022-04-15	Wallis and Futuna	454	0	7.0	0	438.0	0	9.0	0	41697.0	643.0	20508.0	1883542.0	10888.0	Australia/Oceania
2022-04-16	Wallis and Futuna	454	0	7.0	0	438.0	0	9.0	0	41697.0	643.0	20508.0	1883542.0	10888.0	Australia/Oceania
