Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Zimbabwe	246414	128.0	5444.0	0.0	238475.0	199.0	2495.0	12.0	16167.0	357.0	2192887.0	143875.0	15241601.0	Africa
2022-04-03	Zimbabwe	246481	67.0	5446.0	2.0	238581.0	106.0	2454.0	12.0	16171.0	357.0	2194976.0	144007.0	15242193.0	Africa
2022-04-04	Zimbabwe	246525	44.0	5446.0	0.0	238705.0	124.0	2374.0	12.0	16173.0	357.0	2196229.0	144083.0	15242784.0	Africa
2022-04-05	Zimbabwe	246612	87.0	5451.0	5.0	238857.0	152.0	2304.0	12.0	16178.0	358.0	2198988.0	144259.0	15243376.0	Africa
2022-04-06	Zimbabwe	246744	132.0	5451.0	0.0	239055.0	198.0	2238.0	12.0	16186.0	358.0	2203571.0	144554.0	15243967.0	Africa
2022-04-07	Zimbabwe	246803	59.0	5453.0	2.0	239126.0	71.0	2224.0	12.0	16190.0	358.0	2206280.0	144726.0	15244558.0	Africa
2022-04-08	Zimbabwe	246870	67.0	5455.0	2.0	239584.0	458.0	1831.0	12.0	16193.0	358.0	2208905.0	144892.0	15245150.0	Africa
2022-04-09	Zimbabwe	246925	55.0	5457.0	2.0	240189.0	605.0	1279.0	12.0	16196.0	358.0	2211459.0	145054.0	15245741.0	Africa
2022-04-10	Zimbabwe	246958	33.0	5457.0	0.0	240256.0	67.0	1245.0	12.0	16198.0	358.0	2213383.0	145175.0	15246333.0	Africa
2022-04-11	Zimbabwe	246973	15.0	5457.0	0.0	240339.0	83.0	1177.0	12.0	16198.0	358.0	2214122.0	145218.0	15246924.0	Africa
2022-04-12	Zimbabwe	247094	84.0	5460.0	0.0	240584.0	88.0	1050.0	12.0	16206.0	358.0	2219566.0	145569.0	15247515.0	Africa
2022-04-13	Zimbabwe	247160	66.0	5460.0	0.0	240754.0	170.0	946.0	12.0	16209.0	358.0	2221896.0	145716.0	15248107.0	Africa
2022-04-14	Zimbabwe	247208	48.0	5462.0	2.0	240819.0	65.0	927.0	12.0	16212.0	358.0	2224646.0	145891.0	15248698.0	Africa
2022-04-15	Zimbabwe	247237	29.0	5462.0	0.0	240860.0	41.0	915.0	12.0	16214.0	358.0	2226058.0	145983.0	15248698.0	Africa
2022-04-16	Zimbabwe	247237	0.0	5462.0	0.0	240860.0	0.0	915.0	12.0	16214.0	358.0	2226058.0	145983.0	15248698.0	Africa
