	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
0	USA	82211608	41390.0	1014587.0	443.0	80056155.0	36525.0	1140866.0	1559.0	245801.0	3033.0	994063483.0	2972108.0	334464117.0	North America
1	India	43039023	1007.0	521767.0	21.0	42506228.0	818.0	11028.0	698.0	30650.0	372.0	794525202.0	565821.0	1404198864.0	Asia
2	Brazil	30210853	26924.0	661710.0	158.0	29167518.0	41215.0	381625.0	8318.0	140350.0	3074.0	63776166.0	296283.0	215253965.0	South America
3	France	27310055	146426.0	143777.0	152.0	24492686.0	148476.0	2673592.0	1541.0	416750.0	2194.0	260504402.0	3975279.0	65531091.0	Europe
4	Germany	23116402	179888.0	132906.0	307.0	19179300.0	286200.0	3804196.0	1980.0	274341.0	1577.0	122332384.0	1451815.0	84261708.0	Europe
5	UK	21727688	31543.0	171046.0	651.0	19974579.0	82474.0	1582063.0	385.0	317091.0	2496.0	511698520.0	7467657.0	68521968.0	Europe
6	Russia	18030579	11754.0	372512.0	267.0	17299263.0	28135.0	358804.0	2300.0	123458.0	2551.0	273400000.0	1872012.0	146046055.0	Europe
7	S. Korea	15830644	195370.0	20034.0	184.0				1014.0	308302.0	390.0	15804065.0	307784.0	51347871.0	Asia
8	Italy	15468061	62703.0	161187.0	155.0	14078350.0	63318.0	1228524.0	449.0	256504.0	2673.0	207575724.0	3442196.0	60303282.0	Europe
9	Turkey	14978031	5529.0	98493.0	31.0	14688473.0	14493.0	191065.0	975.0	174249.0	1146.0	156514251.0	1820835.0	85957383.0	Asia
10	Spain	11662214		103266.0		11120708.0		438240.0	368.0	249261.0	2207.0	471036328.0	10067660.0	46787073.0	Europe
11	Vietnam	10351325	24752.0	42878.0	20.0	8770994.0	13887.0	1537453.0	1205.0	104664.0	434.0	85511551.0	864623.0	98900397.0	Asia
12	Argentina	9057923	1720.0	128285.0	17.0	8889899.0	1385.0	39739.0	424.0	197189.0	2793.0	35681964.0	776787.0	45935345.0	South America
13	Netherlands	8006749	4943.0	22137.0	20.0	7191958.0	45876.0	792654.0	106.0	465441.0	1287.0	21107399.0	1226997.0	17202485.0	Europe
14	Iran	7199861	2356.0	140711.0	33.0	6930509.0	3467.0	128641.0	1376.0	83807.0	1638.0	50079995.0	582936.0	85909914.0	Asia
15	Japan	7124030	51331.0	28765.0	44.0	6591109.0	44733.0	504156.0	468.0	56636.0	229.0	44996843.0	357725.0	125786031.0	Asia
16	Colombia	6088912	293.0	139734.0	5.0	5921849.0	99.0	27329.0	342.0	117433.0	2695.0	34204521.0	659682.0	51850003.0	South America
17	Indonesia	6036909	1551.0	155746.0	29.0	5814688.0	3022.0	66475.0	2771.0	21662.0	559.0	93593555.0	335844.0	278681282.0	Asia
18	Poland	5981478	1261.0	115736.0	40.0	5333871.0	55.0	531871.0	268.0	158355.0	3064.0	35895344.0	950299.0	37772692.0	Europe
19	Mexico	5723862	648.0	323805.0	78.0	5024561.0	1147.0	375496.0	4798.0	43578.0	2465.0	15683615.0	119405.0	131348341.0	North America
20	Australia	5206905	53286.0	6648.0	39.0	4756356.0	64289.0	443901.0	126.0	200054.0	255.0	67955995.0	2610934.0	26027464.0	Australia/Oceania
21	Ukraine	4988890	1605.0	108194.0	27.0				177.0	115309.0	2501.0	19521252.0	451199.0	43265262.0	Europe
22	Malaysia	4352611	10052.0	35363.0	22.0	4196656.0	15893.0	120592.0	161.0	131477.0	1068.0	57710125.0	1743222.0	33105427.0	Asia
23	Israel	4016919	5253.0	10601.0		3941841.0		64477.0	229.0	430723.0	1137.0	41373364.0	4436346.0	9326000.0	Asia
24	Austria	4016540	12471.0	16324.0	38.0	3839507.0	20269.0	160709.0	190.0	441473.0	1794.0	179853312.0	19768354.0	9098042.0	Europe
25	Belgium	3966741	8982.0	31142.0	30.0	3617043.0		318556.0	173.0	339631.0	2666.0	33220032.0	2844285.0	11679574.0	Europe
